,圖書館,館藏地,索書號,館藏狀態,連結
21,中華科技大學,台北總館/台北總館五樓中文書庫區,Book 873.57 8666,書在館,http://192.192.231.232/bookDetail.do?id=205701&resid=188809790&nowid=4
22,中華科技大學,台北總館/台北總館二樓參考資訊服務區,R 873.57 8666,書在館,http://192.192.231.232/bookDetail.do?id=77069&resid=188809790&nowid=5
23,中華科技大學,台北總館/台北總館五樓中文書庫區,Book 873.57 857 民89,書在館,http://192.192.231.232/bookDetail.do?id=2017&resid=188809790&nowid=6
24,中華科技大學,新竹分館/新竹分館,Book 873.57 857,書在館,http://192.192.231.232/bookDetail.do?id=2017&resid=188809790&nowid=6
25,中華科技大學,台北總館/總館二樓RFID熱門書區,R 873.57 857 V.1,書在館,http://192.192.231.232/bookDetail.do?id=96715&resid=188809790&nowid=7
26,臺北基督學院圖書館,一般書庫,PZ7 .R79P37 2001 v.1,書在館,http://webpac.cct.edu.tw/bookDetail.do?id=14055
27,臺北基督學院圖書館,一般書庫,PZ7 .R79P37 2000 v.1 c.2,書在館,http://webpac.cct.edu.tw/bookDetail.do?id=14055
28,臺北基督學院圖書館,一般書庫,PZ7 .R79P37 2000 v.1 c.1,書在館,http://webpac.cct.edu.tw/bookDetail.do?id=14055
29,臺北基督學院圖書館,一般書庫,PZ7 .R79P37 2000 v.1,書在館,http://webpac.cct.edu.tw/bookDetail.do?id=14055
30,宏國德霖科技大學圖書館,德霖圖書總館/1F密集書庫區,873.57 857 2000 c.3,書在館,http://210.60.142.23/bookDetail.do?id=150817
31,宏國德霖科技大學圖書館,德霖圖書總館/1F密集書庫區,873.57 857 2000 c.2,書在館,http://210.60.142.23/bookDetail.do?id=150817
32,宏國德霖科技大學圖書館,德霖圖書總館/4F小說書區,873.57 857 2000,書在館,http://210.60.142.23/bookDetail.do?id=150817
33,景文科技大學圖書館,圖書總館/4F中文書庫,873.57 6014,書在館,https://jinwenlib.just.edu.tw/bookDetail.do?id=257317
34,景文科技大學圖書館,圖書總館/地下室書庫,873.57 6014 c.2,書在館,https://jinwenlib.just.edu.tw/bookDetail.do?id=257317
35,致理科技大學圖書館,圖書總館/圖書室,873.57 6014 c.1,書在館,http://hylib.chihlee.edu.tw/bookDetail.do?id=76539
36,致理科技大學圖書館,圖書總館/圖書室,873.57 6014,書在館,http://hylib.chihlee.edu.tw/bookDetail.do?id=76539
37,萬能科大圖書館,圖書總館/2樓中文書庫,873.57 4220 v.1 c.1,書在館,http://webpac.lib.vnu.edu.tw/bookDetail.do?id=188907&hyftdToken=188820503&nowid=1
38,萬能科大圖書館,圖書總館/4樓密集書庫(中文7-9類),873.57 4220 c.1,書在館,http://webpac.lib.vnu.edu.tw/bookDetail.do?id=188907&hyftdToken=188820503&nowid=1
39,萬能科大圖書館,圖書總館/2樓中文書庫,873.57 4220,書在館,http://webpac.lib.vnu.edu.tw/bookDetail.do?id=188907&hyftdToken=188820503&nowid=1
40,萬能科大圖書館,圖書總館/2樓中文書庫,873.57 4220,書在館,http://webpac.lib.vnu.edu.tw/bookDetail.do?id=163892&hyftdToken=188820503&nowid=2
41,健行科技大學圖書館,健行科技大學圖書館/中文書庫(4F),873.57 6014 c.2,書在館,https://library.uch.edu.tw/bookDetail.do?id=522669
42,健行科技大學圖書館,健行科技大學圖書館/中文書庫(4F),873.57 6014 c.1,已被外借 / 2021-09-14,https://library.uch.edu.tw/bookDetail.do?id=522669
43,健行科技大學圖書館,健行科技大學圖書館/中文書庫(4F),873.57 6014,書在館,https://library.uch.edu.tw/bookDetail.do?id=522669
44,右任紀念圖書館,2F 中文圖書區,873.57 6014 2000,書在館,https://hylib.lib.must.edu.tw/bookDetail.do?id=83436
45,右任紀念圖書館,2F 中文圖書區,873.57 6014 2000,書在館,https://hylib.lib.must.edu.tw/bookDetail.do?id=83436
46,右任紀念圖書館,2F 中文圖書區,873.57 6014 2000,已被外借 / 2021-09-27,https://hylib.lib.must.edu.tw/bookDetail.do?id=83436
47,右任紀念圖書館,2F 中文圖書區,873.57 6014 2000,已被外借 / 2021-09-27,https://hylib.lib.must.edu.tw/bookDetail.do?id=83436
48,右任紀念圖書館,2F 中文圖書區,873.57 6014 2000,書在館,https://hylib.lib.must.edu.tw/bookDetail.do?id=83436
49,國立空中大學圖書館,新竹中心/圖書室,BOOK 873.57 6014,仍在館內,https://hyweblib.nou.edu.tw/webpac/bookDetail.do?id=42304
50,國立空中大學圖書館,校本部圖書館/蘆洲圖書室,BOOK 873.57 6014,仍在館內,https://hyweblib.nou.edu.tw/webpac/bookDetail.do?id=42304
51,國立空中大學圖書館,台東中心/圖書室,BOOK 873.57 6014,仍在館內,https://hyweblib.nou.edu.tw/webpac/bookDetail.do?id=42304
52,苗栗縣公共圖書館圖書資訊查詢系統,苗栗縣立圖書館/縣立圖書館青少年專區,BOOK 873.57 857 89(櫃號70),仍在館內,https://webpac.miaoli.gov.tw/bookDetail.do?id=668888&resid=188819852&nowid=1
53,苗栗縣公共圖書館圖書資訊查詢系統,苗栗市立圖書館/苗栗市青少年區,BOOK 873.57 857,仍在館內,https://webpac.miaoli.gov.tw/bookDetail.do?id=668888&resid=188819852&nowid=1
54,苗栗縣公共圖書館圖書資訊查詢系統,苗栗縣立圖書館/縣立圖書館兒童閱覽區,J 191.9 8657 v.1 98,已被外借 / 2012-08-09,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188819852&nowid=2
55,苗栗縣公共圖書館圖書資訊查詢系統,苗栗縣立圖書館/苗栗分區資源中心多元文化區,C 823.91 R884 2015,仍在館內,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188819852&nowid=2
56,苗栗縣公共圖書館圖書資訊查詢系統,苗栗縣立圖書館/縣立圖書館視聽資料區,VB 987.83 8575 106,仍在館內,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188819852&nowid=2
57,苗栗縣公共圖書館圖書資訊查詢系統,苗栗縣立圖書館/縣立圖書館視聽資料區,VB 987.83 8575 106,仍在館內,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188819852&nowid=2
58,苗栗縣公共圖書館圖書資訊查詢系統,苗栗縣立圖書館/縣立圖書館兒童閱覽區,J 873.57 857,仍在館內,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188819852&nowid=2
59,苗栗縣公共圖書館圖書資訊查詢系統,苗栗縣立圖書館/縣立圖書館兒童閱覽區,J 873.57 857,仍在館內,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188819852&nowid=2
60,苗栗縣公共圖書館圖書資訊查詢系統,卓蘭鎮立圖書館/卓蘭書庫,BOOK 873.57 857 89,仍在館內,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188819852&nowid=2
61,苗栗縣公共圖書館圖書資訊查詢系統,泰安鄉立圖書館/泰安書庫,BOOK 191.9 8557 2009,仍在館內,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188819852&nowid=2
62,苗栗縣公共圖書館圖書資訊查詢系統,通霄鎮立圖書館/通霄鎮立圖書館二樓,BOOK 873.57 857 (1) 民89,仍在館內,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188819852&nowid=2
63,苗栗縣公共圖書館圖書資訊查詢系統,通霄鎮立圖書館/通霄鎮立圖書館二樓,BOOK 873.57 857 (1),仍在館內,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188819852&nowid=2
64,育達科技大學圖書館,家聲紀念圖書館/總館,873.57 857 2000,已被外借 / 2021-09-24,http://120.106.11.155/bookDetail.do?id=13165
65,育達科技大學圖書館,家聲紀念圖書館/總館,873.57 857 2000,書在館,http://120.106.11.155/bookDetail.do?id=13165
66,仁德醫護管理專科學校,仁德醫護管理專科學校/圖書館,873.57 6014 2000,書在館,http://libopac.jente.edu.tw/bookDetail.do?id=28255&resid=188809330&nowid=1
67,仁德醫護管理專科學校,仁德醫護管理專科學校/圖書館,857.84 6014 V.2 C.4,書在館,http://libopac.jente.edu.tw/bookDetail.do?id=22878&resid=188809330&nowid=2
68,仁德醫護管理專科學校,仁德醫護管理專科學校/學輔中心,857.84 6014 V.2 C.3,書在館,http://libopac.jente.edu.tw/bookDetail.do?id=22878&resid=188809330&nowid=2
69,國立臺中教育大學圖書館-館藏查詢,4樓書庫,873.57 6014 v.1,可外借,http://webpac.lib.ntcu.edu.tw/bookDetail.do?id=387190
70,國立臺灣體育運動大學圖書館,B209書庫/B209書庫,873.57 6014,在館內,https://hylib.ntus.edu.tw/bookDetail.do?id=137024
71,國立臺灣體育運動大學圖書館,圖書館/一樓書庫,873.57 6014,在館內,https://hylib.ntus.edu.tw/bookDetail.do?id=137024
72,國立臺灣體育運動大學圖書館,圖書館/一樓書庫,873.57 6014,在館內,https://hylib.ntus.edu.tw/bookDetail.do?id=137024
73,國立臺灣體育運動大學圖書館,圖書館/一樓書庫,873.57 6014,在館內,https://hylib.ntus.edu.tw/bookDetail.do?id=137024
74,東海大學圖書館,中文系/中文系圖,BOOK 873.57 7042 2000,仍在館內,https://webpac.lib.thu.edu.tw/bookDetail.do?id=683691
75,東海大學圖書館,中文系/中文系圖,BOOK 873.57 7042,仍在館內,https://webpac.lib.thu.edu.tw/bookDetail.do?id=683691
76,東海大學圖書館,圖書總館/圖書總館,BOOK 873.57 7042 2001十八刷,仍在館內,https://webpac.lib.thu.edu.tw/bookDetail.do?id=683691
77,東海大學圖書館,圖書總館/二樓兒童文學區,BOOK 873.57 7042 2000,仍在館內,https://webpac.lib.thu.edu.tw/bookDetail.do?id=683691
78,東海大學圖書館,圖書總館/圖書總館,BOOK 873.57 7042,仍在館內,https://webpac.lib.thu.edu.tw/bookDetail.do?id=683691
79,東海大學圖書館,圖書總館/圖書總館,BOOK 873.57 7042,仍在館內,https://webpac.lib.thu.edu.tw/bookDetail.do?id=683691
80,東海大學圖書館,管院分館/管院分館,BOOK 873.57 7042 2002二十八刷,已被外借 / 2021-09-14,https://webpac.lib.thu.edu.tw/bookDetail.do?id=683691
81,靜宜大學蓋夏圖書館 館藏查詢,6F東方語文書庫,873.5784 6014 90 V.1,已被外借 / 2021-09-30,http://webpac.lib.pu.edu.tw/webpac/bookDetail.do?id=365548&Lflag=1
82,靜宜大學蓋夏圖書館 館藏查詢,6F東方語文書庫,873.5784 6014 89 V.1 C.3,已被外借 / 2021-09-30,http://webpac.lib.pu.edu.tw/webpac/bookDetail.do?id=276466&Lflag=1
83,靜宜大學蓋夏圖書館 館藏查詢,6F東方語文書庫,873.5784 6014 89 V.1 C.2,已報銷,http://webpac.lib.pu.edu.tw/webpac/bookDetail.do?id=276466&Lflag=1
84,靜宜大學蓋夏圖書館 館藏查詢,6F東方語文書庫,873.5784 6014 89 V.1,已被外借 / 2021-09-30,http://webpac.lib.pu.edu.tw/webpac/bookDetail.do?id=276466&Lflag=1
85,靜宜大學蓋夏圖書館 館藏查詢,6F東方語文書庫,873.5784 6014 90-2 V.1,已被外借 / 2021-09-30,http://webpac.lib.pu.edu.tw/webpac/bookDetail.do?id=875032&Lflag=1
86,僑光科技大學圖書館,圖書總館/3樓中文書庫區,873.57 6014 民89 v.1 c.2,書在館,http://lib.webpac.ocu.edu.tw/bookDetail.do?id=159914&resid=188942972&nowid=1
87,彰化師範大學圖資處-館藏查詢系統,總館/四樓書庫,873.57 6014,書在館,https://book.ncue.edu.tw/bookDetail.do?id=143338
88,彰化師範大學圖資處-館藏查詢系統,寶山分館/書庫,873.57 6014 c.2,書在館,https://book.ncue.edu.tw/bookDetail.do?id=143338
89,彰化師範大學圖資處-館藏查詢系統,總館/四樓書庫,873.57 6014 c.3,書在館,https://book.ncue.edu.tw/bookDetail.do?id=143338
90,彰化師範大學圖資處-館藏查詢系統,總館/四樓書庫,873.57 6014 c.4,已被外借 / 2021-09-22,https://book.ncue.edu.tw/bookDetail.do?id=143338
91,雲林縣公共圖書館,莿桐鄉麻園分館/莿桐鄉麻園圖書室,873.57 4220 v.30,已被外借 / 2021-08-29,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188829094&nowid=1
92,雲林縣公共圖書館,元長鄉立圖書館/元長鄉圖書室,873.57 6014 2000,可借閱,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188829094&nowid=1
93,雲林縣公共圖書館,元長鄉立圖書館/元長鄉圖書室,873.57 4220 v.30,可借閱,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188829094&nowid=1
94,雲林縣公共圖書館,四湖鄉立圖書館/四湖鄉圖書室,873.57 6014 2000 V.1 C.2,可借閱,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188829094&nowid=1
95,雲林縣公共圖書館,口湖鄉立圖書館/口湖鄉圖書室,873.57 61,可借閱,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188829094&nowid=1
96,雲林縣公共圖書館,水林鄉立圖書館/水林鄉圖書室,873.57 61 2000,可借閱,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188829094&nowid=1
97,雲林縣公共圖書館,水林鄉立圖書館/水林鄉圖書室,873.57 61 2000,可借閱,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188829094&nowid=1
98,雲林縣公共圖書館,水林鄉立圖書館/水林鄉圖書室,873.57 4220 v.30,可借閱,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188829094&nowid=1
99,雲林縣公共圖書館,北港鎮立圖書館/北港鎮圖書室,873.57 6014 2000 c1,已被外借 / 2021-07-31,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188829094&nowid=1
100,雲林縣公共圖書館,北港鎮立圖書館/北港鎮圖書室,873.57 6014,可借閱,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188829094&nowid=1
101,雲林縣公共圖書館,土庫鎮立圖書館/土庫鎮圖書室,873.57 61 2000,可借閱,http://library.ylccb.gov.tw/bookDetail.do?id=437714&resid=188829094&nowid=2
102,嘉義縣圖書館,嘉義縣圖書館/教育處書庫,873.57 2637,仍在館內,https://www.cycab.gov.tw/bookDetail.do?id=168172
103,嘉義縣圖書館,嘉義縣圖書館/教育處書庫,C 873.57 2637,已被外借 / 2011-05-08,https://www.cycab.gov.tw/bookDetail.do?id=168172
104,嘉義縣圖書館,嘉義縣圖書館/教育處書庫,873.57 2637,已被外借 / 2021-07-21,https://www.cycab.gov.tw/bookDetail.do?id=168172
105,嘉義縣圖書館,嘉義縣圖書館/教育處書庫,873.57 8367,仍在館內,https://www.cycab.gov.tw/bookDetail.do?id=168172
106,嘉義縣圖書館,大林鎮立圖書館/大林書庫,873.57 857 c.1,仍在館內,https://www.cycab.gov.tw/bookDetail.do?id=168172
107,嘉義縣圖書館,大林鎮立圖書館/大林書庫,873.57 857 c.2,仍在館內,https://www.cycab.gov.tw/bookDetail.do?id=168172
108,嘉義縣圖書館,大林鎮立圖書館/大林書庫,873.57 857,仍在館內,https://www.cycab.gov.tw/bookDetail.do?id=168172
109,嘉義縣圖書館,中埔鄉立圖書館/中埔書庫,873.57 8367 v.30,仍在館內,https://www.cycab.gov.tw/bookDetail.do?id=168172
110,嘉義縣圖書館,太保市立圖書館/太保書庫,873.57 8666 v.30 c.2 2000,仍在館內,https://www.cycab.gov.tw/bookDetail.do?id=168172
111,嘉義縣圖書館,太保市立圖書館/太保書庫,873.57 8666 v.30 c.3 2000,仍在館內,https://www.cycab.gov.tw/bookDetail.do?id=168172
112,南華大學圖書館,南華大學圖書館/3F東方語文圖書區(分類號300-999.99),BOOK 873.57 6014,仍在館內,http://hylib.nhu.edu.tw//bookDetail.do?id=66740
113,南華大學圖書館,南華大學圖書館/3F東方語文圖書區(分類號300-999.99),BOOK 873.57 6014 c.2,仍在館內,http://hylib.nhu.edu.tw//bookDetail.do?id=66740
114,嘉南藥理大學圖書資訊館,5F書庫,873.57 6044 c.5,館內架上,http://webpac.cnu.edu.tw/bookDetail.do?id=119947
115,嘉南藥理大學圖書資訊館,5F書庫,873.57 6044 c.4,館內架上,http://webpac.cnu.edu.tw/bookDetail.do?id=119947
116,嘉南藥理大學圖書資訊館,5F書庫,873.57 6044 c.3,館內架上,http://webpac.cnu.edu.tw/bookDetail.do?id=119947
117,嘉南藥理大學圖書資訊館,5F書庫,873.57 6044 c.2,館內架上,http://webpac.cnu.edu.tw/bookDetail.do?id=119947
118,嘉南藥理大學圖書資訊館,5F書庫,873.57 6044,待上架,http://webpac.cnu.edu.tw/bookDetail.do?id=119947
119,嘉南藥理大學圖書資訊館,5F書庫,873.57 6044 c.1,館內架上,http://webpac.cnu.edu.tw/bookDetail.do?id=119947
120,遠東科技大學圖書館館藏查詢系統,2F中文書庫,873.57 857:3 c.3 89,在館內,http://hy.lib.feu.edu.tw/bookDetail.do?id=27078
121,遠東科技大學圖書館館藏查詢系統,2F中文書庫,873.57 857:3 c.2 89,在館內,http://hy.lib.feu.edu.tw/bookDetail.do?id=27078
122,遠東科技大學圖書館館藏查詢系統,2F中文書庫,873.57 857:3 89,在館內,http://hy.lib.feu.edu.tw/bookDetail.do?id=27078
123,正修科技大學 館藏查詢系統,四樓中文圖書區,873.57 4220 c.5,已被外借 / 2021-09-22,https://webpac2.csu.edu.tw/bookDetail.do?id=57585
124,正修科技大學 館藏查詢系統,四樓中文圖書區,873.57 4220 c.4,書在館,https://webpac2.csu.edu.tw/bookDetail.do?id=57585
125,正修科技大學 館藏查詢系統,四樓中文圖書區,873.57 4220 c.3,閉架館藏,https://webpac2.csu.edu.tw/bookDetail.do?id=57585
126,正修科技大學 館藏查詢系統,四樓中文圖書區,873.57 4220 c.2,書在館,https://webpac2.csu.edu.tw/bookDetail.do?id=57585
127,正修科技大學 館藏查詢系統,四樓中文圖書區,873.57 4220,書在館,https://webpac2.csu.edu.tw/bookDetail.do?id=57585
128,美和科技大學圖書館,中文圖書區,873.57 6044,書在館,http://webpac.meiho.edu.tw/bookDetail.do?id=60212&resid=189006018&nowid=1
129,美和科技大學圖書館,中文圖書區,873.57 6044-2 91,書在館,http://webpac.meiho.edu.tw/bookDetail.do?id=92359&resid=189006018&nowid=2
130,國立宜蘭大學圖書資訊館,圖書資訊館/6樓中文圖書區,873.57 6014 v.1 c.3,仍在館內,https://lib.niu.edu.tw/bookDetail.do?id=357171
131,國立宜蘭大學圖書資訊館,圖書資訊館/6樓中文圖書區,873.57 6014 v.1 c.2,仍在館內,https://lib.niu.edu.tw/bookDetail.do?id=357171
132,國立宜蘭大學圖書資訊館,圖書資訊館/6樓中文圖書區,873.57 6014 v.1,仍在館內,https://lib.niu.edu.tw/bookDetail.do?id=357171
133,佛光大學圖書館,佛光大學圖書館/東方語文圖書區-8大類(4F),873.57 6014 c.2,書在館,http://libils.fgu.edu.tw/bookDetail.do?id=23383
134,佛光大學圖書館,佛光大學圖書館/心輔室,873.57 6014 c.3,單位藏書,http://libils.fgu.edu.tw/bookDetail.do?id=23383
135,佛光大學圖書館,佛光大學圖書館/東方語文圖書區-8大類(4F),873.57 6014,書在館,http://libils.fgu.edu.tw/bookDetail.do?id=23383
136,國立臺東大學 館藏查詢系統,知本總館/3F兒童文學書庫,＋ 846 6014 c.6,可預約調借,http://hylib.lib.nttu.edu.tw/webpac/bookDetail.do?id=89287
137,國立臺東大學 館藏查詢系統,知本總館/3F兒童文學書庫,＋ 846 6014 c.5,可預約調借,http://hylib.lib.nttu.edu.tw/webpac/bookDetail.do?id=89287
138,國立臺東大學 館藏查詢系統,知本總館/3F兒童文學書庫,＋ 846 6014 c.4,可預約調借,http://hylib.lib.nttu.edu.tw/webpac/bookDetail.do?id=89287
139,國立臺東大學 館藏查詢系統,知本總館/3F兒童文學書庫,＋ 846 6014 c.3,可預約調借,http://hylib.lib.nttu.edu.tw/webpac/bookDetail.do?id=89287
140,國立臺東大學 館藏查詢系統,知本總館/3F兒童文學書庫,＋ 846 6014 c.2,可預約調借,http://hylib.lib.nttu.edu.tw/webpac/bookDetail.do?id=89287
141,國立臺東大學 館藏查詢系統,知本總館/3F兒童文學書庫,＋ 846 6014,可預約調借,http://hylib.lib.nttu.edu.tw/webpac/bookDetail.do?id=89287
142,國立金門大學圖書館,國立金門大學各系所/金沙校區學生宿舍,873.57 857 89 c.4,書在館,https://lib.nqu.edu.tw/bookDetail.do?id=9668
143,國立金門大學圖書館,國立金門大學圖書館/圖書館,873.57 857 89 c.3,書在館,https://lib.nqu.edu.tw/bookDetail.do?id=9668
144,國立金門大學圖書館,國立金門大學圖書館/圖書館,873.57 857 89 c.2,書在館,https://lib.nqu.edu.tw/bookDetail.do?id=9668
145,國立金門大學圖書館,國立金門大學圖書館/圖書館,873.57 857 89,書在館,https://lib.nqu.edu.tw/bookDetail.do?id=9668
